Vigencia;Unidad;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Rendimientos Financieros- Cree;$ 133,960.96;$ 112,140.75;$ 100,320.85;$ 107,621.21;$ 103,542.80;$ 105,747.10;$ 95,979.49;$ 97,909.19;$ 92,046.24;$ 87,621.95;$ 89,186.32;$ 87,066.49
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Rendimientos Financieros Estampilla Pro UNAL y demas Universidades;$ 220,486.21;$ 125,717.28;$ 101,905.30;$ 94,128.48;$ 54,120.80;$ 41,335.04;$ 246,575.40;$ 254,794.58;$ 254,794.58;$ 242,319.06;$ 254,794.58;$ 246,575.40
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Matrículas Pregrado FSE Vig. Anteriores;$ 0.00;$ 0.00;$ 3,923,094,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Aportes para Inversion;$ 0.00;$ 0.00;$ 6,308,046,911.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 7,494,035,144.00;$ 0.00;$ 0.00;$ 0.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 4,256,565,581.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 9,612,609,215.00;$ 0.00;$ 0.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Matrículas Pregrado FSE;$ 0.00;$ 3,923,094,900.00;-$ 3,923,094,900.00;$ 11,089,497,762.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 10,698,640,901.00;$ 0.00;$ 0.00;$ 1,418,216,941.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;10;Aportes para Funcionamiento;$ 0.00;$ 28,849,640,328.00;$ 14,424,820,164.00;$ 14,424,820,164.00;$ 14,424,820,164.00;$ 28,849,640,328.00;$ 16,292,646,272.00;$ 14,424,820,164.00;$ 14,424,820,164.00;$ 14,424,820,164.00;$ 39,010,719,870.00;$ 28,849,640,325.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Indemnizaciones Compañias Seguros;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 11,959,808.00;$ 2,821,099.00;$ 10,098,000.00;$ 0.00;$ 0.00;$ 0.00;$ 1,570,139.00;$ 3,447,401.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Arrendamientos;$ 3,000,000.00;$ 10,637,311.71;$ 63,543,134.62;$ 9,083,950.98;$ 25,974,135.47;$ 31,505,607.00;$ 12,892,590.18;$ 20,025,360.48;$ 54,537,917.40;$ 18,932,319.13;$ 39,681,859.70;$ 14,332,880.22
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Matrículas Pregrado Vigencias Anteriores;$ 0.00;$ 0.00;$ 66,366,295.00;$ 211,259,808.00;$ 317,653,848.00;$ 1,045,969.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Uptc;$ 165,952,908.14;$ 134,994,103.42;$ 139,389,079.89;$ 79,350,772.80;$ 199,081,174.18;$ 387,032,163.73;$ 113,791,395.09;$ 182,231,705.52;$ 211,575,065.57;$ 182,497,270.35;$ 374,133,946.08;$ 205,683,840.73
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Inscripciones pregrado;$ 40,542,000.00;$ 9,222,000.00;$ 73,926,000.00;$ 63,278,000.00;$ 720,534,000.00;$ 176,958,000.00;$ 45,588,000.00;$ 61,074,000.00;$ 24,708,000.00;$ 126,672,000.00;$ 1,250,016,000.00;$ 2,040,300.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Rendimientos Financieros;$ 68,329,602.36;$ 38,012,614.78;$ 87,017,898.65;$ 273,640,187.51;$ 543,688,693.62;$ 340,064,721.63;$ 276,885,834.56;$ 176,500,769.15;$ 248,135,236.49;$ 201,528,620.31;$ 213,622,807.15;$ 277,650,391.93
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Restaurante y cafeterias;$ 4,382,450.00;$ 479,326,300.00;$ 446,214,449.00;$ 242,790,500.00;$ 513,632,400.00;$ 126,847,350.00;$ 112,962,450.00;$ 506,132,200.00;$ 412,679,213.00;$ 393,952,200.00;$ 380,192,350.00;$ 85,301,572.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Devolucion IVA;$ 0.00;$ 0.00;$ 0.00;$ 1,285,643,679.00;$ 0.00;$ 486,541,752.00;$ 0.00;$ 492,765,103.00;$ 0.00;$ 1,081,522,834.00;$ 0.00;$ 1,378,331,621.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;20;Matriculas Pregrado;$ 1,758,072,691.00;$ 336,209,221.00;$ 352,513,146.00;$ 170,772,683.00;$ 878,102,257.00;$ 3,046,816,259.00;$ 3,296,140,613.00;$ 805,764,141.00;$ 1,641,102,905.00;$ 882,276,460.00;$ 1,948,176,019.00;$ 3,228,934,820.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;30;Rendimientos Financieros R_30;$ 343,456.30;$ 282,934.20;$ 238,026.54;$ 668,029.61;$ 261,720.14;$ 268,447.53;$ 260,291.54;$ 267,551.97;$ 30,312.39;$ 253,632.11;$ 229,455.29;$ 1,153,034.66
2023;05 - CIENCIAS BASICAS;30;Extensión y Educación continuada;$ 0.00;$ 3,000,000.00;$ 0.00;$ 417,660.00;$ 208,818.00;$ 6,472,900.00;$ 291,500.00;$ 7,464,000.00;$ 6,649,050.00;$ 720,520.00;$ 0.00;$ 0.00
2023;14 - SECCIONAL CHIQUINQUIRA;30;Ingresos Postgrados;$ 696,000.00;$ 7,495,800.00;$ 3,149,950.00;$ 0.00;$ 580,000.00;$ 2,320,000.00;$ 10,627,800.00;$ 0.00;$ 0.00;$ 696,000.00;$ 1,972,000.00;$ 0.00
2023;09 - INGENIERIA;30;Ingresos Postgrados;$ 0.00;$ 0.00;$ 7,685,550.00;$ 0.00;$ 6,625,501.00;$ 0.00;$ 0.00;$ 7,960,000.00;$ 19,261,722.00;$ 0.00;$ 0.00;$ 0.00
2023;14 - SECCIONAL CHIQUINQUIRA;30;Extensión y Educación continuada;$ 10,929,670.00;$ 8,207,151.00;$ 6,756,003.00;$ 3,406,950.00;$ 8,731,507.00;$ 4,887,100.00;$ 1,742,350.00;$ 3,484,700.00;$ 2,955,750.00;$ 4,906,950.00;$ 0.00;$ 0.00
2023;07 - CIENCIAS DE LA SALUD;30;Extensión y Educación continuada;$ 37,120,000.00;$ 1,910,000.00;$ 15,000,000.00;$ 0.00;$ 30,750,000.00;$ 22,980,000.00;$ 1,800,000.00;$ 12,300,000.00;$ 8,688,600.00;$ 4,326,600.00;$ 0.00;$ 0.00
2023;06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;30;Extensión y Educación continuada;$ 0.00;$ 0.00;$ 0.00;$ 19,390,000.00;$ 10,000,000.00;$ 27,941,600.00;$ 0.00;$ 0.00;$ 10,170,000.00;$ 10,105,000.00;$ 42,102,369.00;$ 100,060,000.00
2023;10 - DERECHO Y CIENCIAS SOCIALES;30;Extensión y Educación continuada;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 37,584,000.00;$ 0.00;$ 0.00;$ 0.00;$ 302,651,492.00;$ 0.00;$ 0.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;30;Ingresos de Vigencias Anteriores;$ 77,134,831.00;$ 253,350,882.00;$ 39,757,461.00;$ 3,150,000.00;$ 27,547,096.00;$ 10,811,848.00;$ 19,100,000.00;$ 0.00;$ 1,585,840.00;$ 18,637,710.00;$ 0.00;$ 0.00
2023;12 - SECCIONAL DUITAMA;30;Extensión y Educación continuada;$ 0.00;$ 1,084,443.00;$ 66,444,349.00;$ 2,703,329.00;$ 113,194,470.00;$ 14,390,518.00;$ 38,750,766.00;$ 31,766,101.00;$ 21,032,510.00;$ 37,963,547.00;$ 73,228,886.00;$ 64,475,443.00
2023;10 - DERECHO Y CIENCIAS SOCIALES;30;Ingresos Postgrados;$ 4,756,000.00;$ 73,504,450.00;$ 179,571,200.00;$ 0.00;$ 14,468,032.00;$ 10,556,000.00;$ 102,617,143.00;$ 214,810,682.00;$ 16,637,287.00;$ 5,462,009.00;$ 31,600,285.00;$ 1,160,000.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;30;Productos agricolas y pecuarios;$ 9,968,000.00;$ 12,864,500.00;$ 118,576,901.00;$ 27,463,000.00;$ 104,047,102.00;$ 49,959,418.00;$ 67,798,266.00;$ 62,321,880.00;$ 50,168,434.00;$ 51,961,186.00;$ 84,312,992.00;$ 60,029,838.00
2023;08 - CIENCIAS AGROPECUARIAS;30;Extensión y Educación continuada;$ 3,094,140.00;$ 4,605,000.00;$ 43,641,358.00;$ 43,552,000.00;$ 21,136,640.00;$ 15,648,900.00;$ 358,944,160.00;$ 46,806,200.00;$ 6,606,416.00;$ 25,926,140.00;$ 166,614,028.00;$ 87,099,928.00
2023;08 - CIENCIAS AGROPECUARIAS;30;Ingresos Postgrados;$ 2,958,000.00;$ 123,257,100.00;$ 254,454,805.00;$ 1,387,995.00;$ 39,667,847.00;$ 21,819,358.00;$ 109,366,400.00;$ 218,786,414.00;$ 43,858,264.00;$ 696,000.00;$ 11,832,000.00;$ 1,624,000.00
2023;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;30;Extensión y Educación continuada;$ 88,040,000.00;$ 291,682,800.00;$ 153,604,600.00;$ 0.00;$ 2,412,000.00;$ 59,396,000.00;$ 316,302,000.00;$ 28,944,000.00;$ 248,755,280.00;$ 0.00;$ 7,210,000.00;$ 0.00
2023;05 - CIENCIAS BASICAS;30;Ingresos Postgrados;$ 5,858,000.00;$ 191,451,145.00;$ 405,621,305.00;$ 928,000.00;$ 25,841,698.00;$ 21,112,000.00;$ 157,443,400.00;$ 288,641,268.00;$ 96,493,605.00;$ 10,921,950.00;$ 16,083,950.00;$ 1,392,000.00
2023;09 - INGENIERIA;30;Extensión y Educación continuada;$ 147,842,362.00;$ 0.00;$ 30,875,500.00;$ 280,362,828.00;$ 0.00;$ 92,963,200.00;$ 27,631,500.00;$ 258,919,093.05;$ 9,156,382.00;$ 34,284,000.00;$ 154,275,763.00;$ 547,528,625.00
2023;03 - UNISALUD;30;Rendimientos Financieros UniSalud;$ 96,400,070.32;$ 106,240,441.71;$ 704,782,931.45;$ 172,631,348.99;$ 70,787,404.22;$ 79,679,890.95;$ 82,885,206.71;$ 70,704,288.53;$ 97,915,080.02;$ 71,247,779.76;$ 146,244,080.21;$ 14,419,095.25
2023;07 - CIENCIAS DE LA SALUD;30;Ingresos Postgrados;$ 244,376,600.00;$ 168,613,950.00;$ 219,177,250.00;$ 464,000.00;$ 141,787,617.00;$ 35,826,925.00;$ 374,212,578.00;$ 229,541,247.00;$ 80,924,066.00;$ 3,016,000.00;$ 135,942,909.00;$ 179,643,700.00
2023;12 - SECCIONAL DUITAMA;30;Ingresos Postgrados;$ 20,657,800.00;$ 797,810,963.00;$ 1,184,596,331.00;$ 4,263,550.00;$ 58,260,398.00;$ 144,362,000.00;$ 654,871,869.00;$ 1,104,464,433.00;$ 65,404,441.00;-$ 3,509,550.00;$ 100,363,629.00;$ 6,264,000.00
2023;06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;30;Ingresos Postgrados;$ 29,406,000.00;$ 712,204,808.00;$ 1,663,977,507.00;$ 24,083,250.00;$ 55,346,145.00;$ 161,240,000.00;$ 567,646,050.00;$ 1,620,775,786.00;$ 60,150,489.00;$ 1,392,000.00;$ 115,263,950.00;$ 6,223,950.00
2023;13 - SECCIONAL SOGAMOSO;30;Ingresos Postgrados;$ 23,722,000.00;$ 852,591,476.00;$ 1,731,041,279.00;$ 13,082,712.00;$ 114,220,002.00;$ 101,022,716.00;$ 609,270,758.00;$ 1,520,268,632.00;$ 93,877,207.00;$ 15,660,000.00;$ 77,395,552.00;$ 5,336,000.00
2023;13 - SECCIONAL SOGAMOSO;30;Extensión y Educación continuada;$ 63,439,700.00;$ 142,855,041.00;$ 253,389,405.00;$ 70,676,277.00;$ 496,349,246.00;$ 193,779,813.50;$ 513,127,091.00;$ 68,430,991.00;$ 688,306,042.00;$ 237,859,275.00;$ 894,649,926.00;$ 1,817,380,936.50
2023;02 - INVESTIGACION Y EXTENSION;30;Ingresos por investigación;$ 0.00;$ 95,992,080.00;$ 716,993,980.00;$ 0.00;$ 276,695,367.00;$ 172,168,373.00;$ 899,250,000.00;$ 34,202,652.00;$ 1,054,358,785.66;$ 575,867,520.00;$ 125,766,833.00;$ 1,909,704,223.00
2023;09 - INGENIERIA;30;Ingresos Postgrados;$ 45,812,000.00;$ 1,259,510,625.00;$ 2,253,873,357.00;$ 3,729,950.00;$ 115,301,134.00;$ 125,993,950.00;$ 1,252,983,436.00;$ 1,643,737,036.00;$ 135,069,312.00;$ 23,802,716.00;$ 143,991,900.00;$ 8,584,000.00
2023;11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;30;Ingresos Postgrados;$ 44,599,600.00;$ 991,489,896.00;$ 2,246,865,904.00;$ 6,085,360.00;$ 91,909,338.00;$ 199,520,000.00;$ 891,636,839.00;$ 2,320,988,472.00;$ 62,884,368.00;$ 8,671,745.00;$ 145,900,305.00;$ 12,143,400.00
2023;04 - CIENCIAS DE LA EDUCACION;30;Ingresos Postgrados;$ 27,956,000.00;$ 1,027,275,047.00;$ 2,095,419,742.00;$ 90,218,440.00;$ 206,758,665.00;$ 144,861,900.00;$ 1,110,795,809.00;$ 1,872,192,230.00;$ 466,257,114.00;$ 25,419,492.00;$ 122,552,908.00;$ 28,036,040.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;30;Extensión y Educación continuada;$ 214,716,683.26;$ 170,559,510.50;$ 153,758,381.00;$ 224,351,196.83;$ 157,591,144.00;$ 256,840,221.25;$ 585,155,702.00;$ 349,254,183.75;$ 371,740,995.03;$ 2,253,057,223.50;$ 167,238,670.00;$ 4,049,350,221.88
2023;03 - UNISALUD;30;Cotizaciones, copagos y unidad de pago;$ 102,172,500.00;$ 867,131,333.00;$ 1,508,486,939.00;$ 274,927,844.00;$ 880,326,247.00;$ 861,738,636.00;$ 969,295,795.00;$ 1,007,201,366.00;$ 973,838,165.00;$ 1,040,226,729.00;$ 1,021,632,360.00;$ 1,000,043,991.00
2023;04 - CIENCIAS DE LA EDUCACION;30;Extensión y Educación continuada;$ 164,250,000.00;$ 10,250,000.00;$ 82,500,000.00;$ 210,060,000.00;$ 24,500,000.00;$ 0.00;$ 0.00;$ 19,250,000.00;$ 6,250,000.00;$ 4,273,805,629.50;$ 5,403,350,000.00;$ 955,861,710.00
2023;01 - ADMINISTRATIVA Y FINANCIERA;40;Estampilla prodesarrollo - Uptc;$ 91,136,041.00;$ 227,668,580.00;$ 361,620,618.00;$ 270,774,576.00;$ 416,257,640.00;$ 371,947,007.00;$ 350,129,999.00;$ 335,186,184.00;$ 405,925,250.00;$ 448,701,341.00;$ 555,893,070.24;$ 957,390,611.00
