Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.01;10;Aportes para Funcionamiento;$ 26,570,768,646.00;$ 17,713,845,764.00;$ 17,713,845,764.00;$ 17,713,845,764.00;$ 17,713,845,764.00;$ 35,427,691,528.00;$ 17,713,845,764.00;$ 17,713,845,764.00;$ 17,713,845,764.00;$ 24,289,659,255.00;$ 42,793,306,052.00;$ 22,610,037,324.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.06;10.1;Aportes PIC Convencional;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 10,080,716,557.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.07;10.2;Aportes PIC Territorial;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 2,835,297,958.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.09;10.4;Aportes Saldos PIC Territorial;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 1,496,887,846.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.07.01;12;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;$ 0.00;$ 0.00;$ 11,825,980,586.00;$ 0.00;$ 0.00;$ 0.00;$ 2,959,669,656.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.003;12;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;$ 1,618,133.32;$ 254,794.58;-$ 1,133,897.96;$ 254,794.58;$ 246,575.40;$ 254,794.58;$ 246,575.40;$ 254,794.58;$ 254,794.58;$ 246,575.40;$ 254,794.58;$ 246,575.40
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.06.00;13;Excedentes Cooperativas Art.142, Ley 1819 del 2016;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 2,080,840,690.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.03;14;Matrículas Pregrado FSE;$ 0.00;$ 8,424,933,874.00;$ 0.00;$ 14,276,944,083.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 3,701,749,393.00;$ 1,059,139,424.00;$ 0.00;$ 11,828,688,241.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.02;16;Aportes para Inversion;$ 6,958,736,074.00;$ 7,403,276,058.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
2025;01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.004;16;Rendimientos Financieros - CREE;$ 85,304.86;$ 79,369.94;$ 73,120.73;$ 0.00;$ 83,863.46;$ 85,912.43;$ 83,870.42;$ 85,919.56;$ 85,923.17;$ 83,880.90;$ 85,930.30;$ 83,887.86
