Unidad;Concepto;Recurso;Tipo de Ingreso;Valor inicial;Valor aforo;Total recaudo;Fecha inicial;Fecha final;Tipo de Recurso
01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Funcionamiento;10.0-Aportes Nacion - Funcionamiento;Aportes de la Nación;31478200000000000;31478200000000000;10284900000000000;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Aportes funcionamiento;10.0-Aportes Nacion - Funcionamiento;Aportes de la Nación;0;5459440079;5459440079;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Aportes;10.0-Aportes Nacion - Funcionamiento;Aportes de la Nación;0;0;11038169644;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - PIC Convencional;10.1-Aportes Nación - PIC Convencional;Aportes de la Nación;0;1967656093;1967656093;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - PIC Territorial;10.2-Aportes Nación - PIC Territorial;Aportes de la Nación;0;9364777836;9364777836;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Matrículas Pregrado-Política de Gratuidad;10.5-Aportes Nación - Política de gratuidad;Aportes de la Nación;20708427143;20708427143;1395938900;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Estampilla Pro- Universidad Nacional y Demás Entidades Estatales de Colombia;12-Estampillas Otras Universidades;Aportes de la Nación;5706455422;5706455422;0;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros - Estampilla Pro UNAL y demas universidades;12-Estampillas Otras Universidades;Aportes de la Nación;0;0;444657526;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Estampilla Prounal;12-Estampillas Otras Universidades;Aportes de la Nación;0;9961695078;9961695078;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Excedentes Cooperativas Art.142, Ley 1819 del 2016;13-Cooperativas;Aportes de la Nación;2126284735;2126284735;0;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del Balance - Cooperativas;13-Cooperativas;Aportes de la Nación;0;1887697;1887697;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Matrículas Pregrado FSE;14-Matriculas FSE;Aportes de la Nación;18737327483;18737327483;0;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Matrículas FSE;14-Matriculas FSE;Aportes de la Nación;0;8881834543;8881834543;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Aportes para Inversion;16.0-Aportes inversion;Aportes de la Nación;7728720060;7728720060;7740281271;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros - CREE;16.0-Aportes inversion;Aportes de la Nación;0;0;2496448;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Aportes inversion;16.0-Aportes inversion;Aportes de la Nación;0;5148400892;5148400892;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Devolucion de descuento por votacion;17-Devolucion descuento electoral;Aportes de la Nación;5447536009;5447536009;1812768265;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Articulo 87 CESU;18-Articulo 87 CESU;Aportes de la Nación;427778274;427778274;677830504;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Certificaciones y constancias;20-Propios;Recursos Propios;54390954;54390954;19607350;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Inscripciones ;20-Propios;Recursos Propios;316506993;316506993;13655700;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Derechos de grado;20-Propios;Recursos Propios;451761696;451761696;158701140;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Matrículas;20-Propios;Recursos Propios;5525977978;5525977978;2806873914;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;Recursos Propios;4231617827;4231617827;1714968160;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Sanciones administrativas;20-Propios;Recursos Propios;22586143;22586143;6075250;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";20-Propios;Recursos Propios;4173694824;4173694824;1479086815;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;"Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de arrendamiento y leasing";20-Propios;Recursos Propios;235081376;235081376;6339459767;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;"Minerales; electricidad, gas y agua";20-Propios;Recursos Propios;129404752;129404752;32820684;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Productos metálicos, maquinaria y equipo;20-Propios;Recursos Propios;5025174;5025174;270000;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Rendimientos Financieros - Propios;20-Propios;Recursos Propios;1822006660;1822006660;728873735;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Propios;20-Propios;Recursos Propios;0;1579085708;1579085708;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Licencias e Incapacidades;20-Propios;Recursos Propios;331465375;331465375;126983672;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Servicios Públicos;20-Propios;Recursos Propios;0;0;10558812;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Ingresos de Vigencias Anteriores - Propios;20-Propios;Recursos Propios;0;0;12477750;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Pregrado - Matrículas;20-Propios;Recursos Propios;0;0;1379200;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;Recursos Propios;0;0;1345900;1/01/2026;30/04/2026;Recursos UPTC
09 - INGENIERIA;Pregrado - Matrículas;20-Propios;Recursos Propios;0;0;373158644;1/01/2026;30/04/2026;Recursos UPTC
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;Recursos Propios;0;0;225000;1/01/2026;30/04/2026;Recursos UPTC
15 - SEDE REGIONAL AGUAZUL;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;Recursos Propios;0;0;2576000;1/01/2026;30/04/2026;Recursos UPTC
15 - SEDE REGIONAL AGUAZUL;Sanciones administrativas;20-Propios;Recursos Propios;0;0;119700;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;Recursos Propios;4587997825;4587997825;1982835590;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Recursos del balance - Devolucion IVA;21-Devolucion IVA;Recursos Propios;0;953393273;953393273;1/01/2026;30/04/2026;Recursos del Balance
01 - ADMINISTRATIVA Y FINANCIERA;Posgrado - Inscripciones ;31-Posgrados;Extensión y Posgrados;0;0;12379600;1/01/2026;30/04/2026;Recursos UPTC
01 - ADMINISTRATIVA Y FINANCIERA;Posgrado - Matrículas;31-Posgrados;Extensión y Posgrados;0;0;3883193;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Posgrado - Inscripciones ;31-Posgrados;Extensión y Posgrados;212479362;212479362;112275300;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Posgrado - Derechos de grado;31-Posgrados;Extensión y Posgrados;372975795;372975795;19260700;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Posgrado - Matrículas;31-Posgrados;Extensión y Posgrados;10485147378;10527470904;3719944302;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;Extensión y Posgrados;14917592;14917592;18835100;1/01/2026;30/04/2026;Recursos UPTC
04 - CIENCIAS DE LA EDUCACION;Recursos del balance - Posgrados;31-Posgrados;Extensión y Posgrados;0;179478068;179478068;1/01/2026;30/04/2026;Recursos del Balance
05 - CIENCIAS BASICAS;Posgrado - Inscripciones ;31-Posgrados;Extensión y Posgrados;30612465;30612465;31595100;1/01/2026;30/04/2026;Recursos UPTC
05 - CIENCIAS BASICAS;Posgrado - Derechos de grado;31-Posgrados;Extensión y Posgrados;41215292;41215292;4377500;1/01/2026;30/04/2026;Recursos UPTC
05 - CIENCIAS BASICAS;Posgrado - Matrículas;31-Posgrados;Extensión y Posgrados;1408521574;1408521574;677418124;1/01/2026;30/04/2026;Recursos UPTC
05 - CIENCIAS BASICAS;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;Extensión y Posgrados;1273178;1273178;2672500;1/01/2026;30/04/2026;Recursos UPTC
06 - CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Posgrado - Inscripciones ;31-Posgrados;Extensión y Posgrados;111276000;111276000;37013600;1/01/2026;30/04/2026;Recursos UPTC
06 - CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Posgrado - Derechos de grado;31-Posgrados;Extensión y Posgrados;218394000;218394000;6391100;1/01/2026;30/04/2026;Recursos UPTC
06 - CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Posgrado - Matrículas;31-Posgrados;Extensión y Posgrados;5018300000;5018300000;2079438214;1/01/2026;30/04/2026;Recursos UPTC
06 - CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;Extensión y Posgrados;0;0;8860000;1/01/2026;30/04/2026;Recursos UPTC
07 - CIENCIAS DE LA SALUD;Posgrado - Inscripciones ;31-Posgrados;Extensión y Posgrados;21238620;21238620;3137600;1/01/2026;30/04/2026;Recursos UPTC
07 - CIENCIAS DE LA SALUD;Posgrado - Derechos de grado;31-Posgrados;Extensión y Posgrados;33309900;33309900;875500;1/01/2026;30/04/2026;Recursos UPTC
07 - CIENCIAS DE LA SALUD;Posgrado - Matrículas;31-Posgrados;Extensión y Posgrados;2205929622;2206189622;827772147;1/01/2026;30/04/2026;Recursos UPTC
