Periodo;Numero;Concepto;Valor liquidacion;Objeto;Asignacion;Dedicacion;Vinculacion
Enero;492-001;PERMANENTE - (PLANTA);2718350225;LIQUIDACION NOMINA PLANTA DE PERSONAL - ENERO 2026;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO
Enero;497-003;PREGRADO - CATEDRA;4556850;LIQUIDACION DE NOMINA TEMPORAL DOCENTES CATEDRATICOS ENERO DE 2026;PREGRADO;HORA CATEDRA;CATEDRA
Enero;497-002;TECNICA - OCASIONAL TIEMPO COMPLETO;23113511;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES ENERO DE 2026;TECNICA;TIEMPO COMPLETO;OCASIONAL
Enero;497-002;TECNOLOGICA - OCASIONAL TIEMPO COMPLETO;56983494;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES ENERO DE 2026;TECNOLOGICA;TIEMPO COMPLETO;OCASIONAL
Enero;497-002;PREGRADO - OCASIONAL TIEMPO COMPLETO;829181318;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES ENERO DE 2026;PREGRADO;TIEMPO COMPLETO;OCASIONAL
Enero;497-002;PREGRADO - OCASIONAL MEDIO TIEMPO;23917338;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES ENERO DE 2026;PREGRADO;MEDIO TIEMPO;OCASIONAL
Enero;492-001;TECNOLOGICA - PLANTA TIEMPO COMPLETO;30131388;LIQUIDACION NOMINA PLANTA DE PERSONAL - ENERO 2026;TECNOLOGICA;TIEMPO COMPLETO;PLANTA
Enero;492-001;PREGRADO - PLANTA TIEMPO COMPLETO;2025656491;LIQUIDACION NOMINA PLANTA DE PERSONAL - ENERO 2026;PREGRADO;TIEMPO COMPLETO;PLANTA
Enero;492-001;PREGRADO - PLANTA MEDIO TIEMPO;6625504;LIQUIDACION NOMINA PLANTA DE PERSONAL - ENERO 2026;PREGRADO;MEDIO TIEMPO;PLANTA
Enero;492-001;POSGRADO - PLANTA TIEMPO COMPLETO;37084708;LIQUIDACION NOMINA PLANTA DE PERSONAL - ENERO 2026;POSGRADO;TIEMPO COMPLETO;PLANTA
Enero;497-001;TEMPORAL (SUPERNUMERARIO);38065968;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS ENERO DE 2026;ADMINISTRATIVO;ADMINISTRATIVO;SUPERNUMERARIO
Febrero;492-002;PERMANENTE - (PLANTA);9603749;LIQUIDACIÓN NÓMINA ADICIONAL PLANTA DE PERSONAL - ENERO 2026;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO
Febrero;492-003;PERMANENTE - (PLANTA);4195143945;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - FEBRERO 2026;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO
Febrero;492-003;TECNOLOGICA - PLANTA TIEMPO COMPLETO;95507625;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - FEBRERO 2026;TECNOLOGICA;TIEMPO COMPLETO;PLANTA
Febrero;492-003;PREGRADO - PLANTA TIEMPO COMPLETO;6559454251;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - FEBRERO 2026;PREGRADO;TIEMPO COMPLETO;PLANTA
Febrero;492-003;PREGRADO - PLANTA MEDIO TIEMPO;25172753;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - FEBRERO 2026;PREGRADO;MEDIO TIEMPO;PLANTA
Febrero;492-003;POSGRADO - PLANTA TIEMPO COMPLETO;109029975;LIQUIDACIÓN NÓMINA PLANTA DE PERSONAL - FEBRERO 2026;POSGRADO;TIEMPO COMPLETO;PLANTA
Febrero;497-004;TEMPORAL (SUPERNUMERARIO);69964;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS ADICIONAL ENERO DE 2026;ADMINISTRATIVO;ADMINISTRATIVO;SUPERNUMERARIO
Febrero;497-005;POSGRADO - CATEDRA;36898568;LIQUIDACION DE NOMINA TEMPORAL CATEDRATICOS POSGRADO EXTERNOS ADICIONAL ENERO DE 2026;POSGRADO;HORA CATEDRA;CATEDRA POSGRADO
Febrero;497-006;TEMPORAL (SUPERNUMERARIO);96117843;LIQUIDACION DE NOMINA TEMPORAL SUPERNUMERARIOS FEBRERO DE 2026;ADMINISTRATIVO;ADMINISTRATIVO;SUPERNUMERARIO
Febrero;497-007;TECNICA - OCASIONAL TIEMPO COMPLETO;128266206;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES FEBRERO DE 2026;TECNICA;TIEMPO COMPLETO;OCASIONAL
Febrero;497-007;TECNOLOGICA - OCASIONAL TIEMPO COMPLETO;306770348;LIQUIDACION DE NOMINA TEMPORAL DOCENTES OCASIONALES FEBRERO DE 2026;TECNOLOGICA;TIEMPO COMPLETO;OCASIONAL
