Vigencia ;Concepto; Valor Recaudo ;;;;;;
2023;Recursos Nación; $ 285,303,712,385.95 ;;;;;;
2023;PIC-CO; $ 3,305,222,082.00 ;;;;;;
2024;Recursos Nación; $ 320,735,163,637.55 ;;;;;;
2024;PIC-CO - Indexado; $ 3,609,963,558.00 ;;;;;;
2024;PIC-CO; $ 5,427,483,546.00 ;;;;;;
2025;Recursos Nación; $ 360,705,884,734.66 ;;;;;;
2025;PIC-ET; $ 2,835,297,958.00 ;;;;;;
2025;PIC-CO - Indexado; $ 9,519,423,983.00 ;;;;;;
2025;PIC-CO; $ 10,080,716,557.00 ;;;;;;
2026;Recursos Nación; $ 375,664,402,852.00 ;;;;;;
2026;PIC-CO; $ 7,789,060,740.00 ;;;;;;
2026;PIC-ET - Indexado; $ 2,979,898,153.86 ;;;;;;
2026;PIC-CO - Indexado; $ 20,599,747,707.54 ;;;;;;
2026;PIC-ET; $ 3,060,211,833.00 ;;;;;;
;;;;;;;;
;;;;;;;;
