Seccion;Centro;Concepto;Número;Valor recaudo
FACULTAD CIENCIAS BASICAS;Doctorado en Ciencias - Física; Certificaciones, constancias académicas y derechos complementarios;8;101500
FACULTAD CIENCIAS BASICAS;Doctorado en Ciencias Biológicas y Ambientales; Certificaciones, constancias académicas y derechos complementarios;5;367000
FACULTAD CIENCIAS DE LA EDUCACION;Doctorado en Ciencias de la Educación; Certificaciones, constancias académicas y derechos complementarios;42;1210000
FACULTAD CIENCIAS BASICAS;Doctorado en Ciencias Matemáticas; Certificaciones, constancias académicas y derechos complementarios;2;38500
FACULTAD CIENCIAS BASICAS;Doctorado en Ciencias Químicas; Certificaciones, constancias académicas y derechos complementarios;3;66500
FACULTAD CIENCIAS DE LA EDUCACION;Doctorado en Geografía; Certificaciones, constancias académicas y derechos complementarios;13;748000
FACULTAD CIENCIAS DE LA EDUCACION;Doctorado en Historia; Certificaciones, constancias académicas y derechos complementarios;17;1139500
SECCIONAL SOGAMOSO;Doctorado en Ingeniería - Sogamoso; Certificaciones, constancias académicas y derechos complementarios;9;426500
FACULTAD INGENIERIA;Doctorado en Ingeniería - Tunja; Certificaciones, constancias académicas y derechos complementarios;4;42000
FACULTAD INGENIERIA;Doctorado en Ingeniería y Ciencia de los Materiales; Certificaciones, constancias académicas y derechos complementarios;27;1339700
FACULTAD CIENCIAS DE LA EDUCACION;Doctorado en Lenguaje y Cultura; Certificaciones, constancias académicas y derechos complementarios;24;545100
FACULTAD CIENCIAS DE LA EDUCACION;Doctorado en Pedagogía y Didáctica; Certificaciones, constancias académicas y derechos complementarios;36;518000
FACULTAD CIENCIAS AGROPECUARIAS;Doctorado en Territorio y Desarrollo Rural; Certificaciones, constancias académicas y derechos complementarios;3;31500
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Alta Gerencia de Empresas; Certificaciones, constancias académicas y derechos complementarios;94;2806000
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Especialización en Alta Gerencia en Mercadotecnia - Tunja; Certificaciones, constancias académicas y derechos complementarios;33;749000
SECCIONAL SOGAMOSO;Especialización en Analítica Estratégica de Datos; Certificaciones, constancias académicas y derechos complementarios;33;731500
FACULTAD CIENCIAS DE LA EDUCACION;Especialización en Archivística; Certificaciones, constancias académicas y derechos complementarios;25;822000
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Auditoría de la Calidad en Salud; Certificaciones, constancias académicas y derechos complementarios;12;336000
SECCIONAL SOGAMOSO;Especialización en Automatización Industrial; Certificaciones, constancias académicas y derechos complementarios;10;210000
FACULTAD INGENIERIA;Especialización en Bases de Datos; Certificaciones, constancias académicas y derechos complementarios;3;84000
FACULTAD CIENCIAS AGROPECUARIAS;Especialización en Biotecnología Reproductiva; Certificaciones, constancias académicas y derechos complementarios;15;315000
FACULTAD CIENCIAS AGROPECUARIAS;Especialización en biotecnología reproductiva - Presencial - Aguazul; Certificaciones, constancias académicas y derechos complementarios;4;112000
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Didáctica de la Matemática para la Educación Básica; Certificaciones, constancias académicas y derechos complementarios;31;1322000
SECCIONAL DUITAMA;Especialización en Estadística; Certificaciones, constancias académicas y derechos complementarios;4;112000
FACULTAD INGENIERIA;Especialización en Estructuras; Certificaciones, constancias académicas y derechos complementarios;40;1207000
FACULTAD INGENIERIA;Especialización en Geotecnia; Certificaciones, constancias académicas y derechos complementarios;33;976000
SECCIONAL SOGAMOSO;Especialización en Geotecnia Vial; Certificaciones, constancias académicas y derechos complementarios;10;210000
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Gerencia de Empresas de Salud; Certificaciones, constancias académicas y derechos complementarios;24;549500
FACULTAD INGENIERIA;Especialización en Gerencia de Proyectos de Construcción - Presencial; Certificaciones, constancias académicas y derechos complementarios;36;2003500
FACULTAD INGENIERIA;Especialización en Gerencia de Proyectos de Construcción en modalidad virtual; Certificaciones, constancias académicas y derechos complementarios;73;1641000
SECCIONAL SOGAMOSO;Especialización en Gerencia del Talento Humano; Certificaciones, constancias académicas y derechos complementarios;15;402500
FACULTAD CIENCIAS DE LA EDUCACION;Especialización en Gerencia Educacional - Tunja; Certificaciones, constancias académicas y derechos complementarios;85;1766800
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Especialización en Gerencia Tributaria; Certificaciones, constancias académicas y derechos complementarios;59;1843500
SECCIONAL SOGAMOSO;Especialización en Gestión Ambiental; Certificaciones, constancias académicas y derechos complementarios;9;182000
FACULTAD INGENIERIA;Especialización en Gestión Avanzada del Riesgo de Desastres; Certificaciones, constancias académicas y derechos complementarios;7;168000
FACULTAD INGENIERIA;Especialización en gestión de Integridad y Corrosión, modalidad Virtual; Certificaciones, constancias académicas y derechos complementarios;34;637000
SECCIONAL DUITAMA;Especialización en Gestión de la Productividad y Mejoramiento Continúo; Certificaciones, constancias académicas y derechos complementarios;21;518000
FACULTAD CIENCIAS DE LA EDUCACION;Especialización en Gestión del Patrimonio Cultural - Combinada; Certificaciones, constancias académicas y derechos complementarios;4;112000
FACULTAD CIENCIAS DE LA EDUCACION;Especialización en Gestión del Patrimonio Cultural - Presencial; Certificaciones, constancias académicas y derechos complementarios;16;395500
SECCIONAL DUITAMA;Especialización en Gestión Estratégica de Proyectos; Certificaciones, constancias académicas y derechos complementarios;23;563600
SECCIONAL SOGAMOSO;Especialización en Gestión y Auditoría Tributaria; Certificaciones, constancias académicas y derechos complementarios;19;444500
SECCIONAL DUITAMA;Especialización en Informática para la Docencia; Certificaciones, constancias académicas y derechos complementarios;24;584500
FACULTAD INGENIERIA;Especialización en Infraestructura Vial; Certificaciones, constancias académicas y derechos complementarios;16;989500
FACULTAD INGENIERIA;Especialización en Ingeniería de los Recursos Hídricos; Certificaciones, constancias académicas y derechos complementarios;11;308000
SECCIONAL SOGAMOSO;Especialización en Ingeniería de Producción y Operaciones; Certificaciones, constancias académicas y derechos complementarios;9;252000
FACULTAD INGENIERIA;Especialización en Ingeniería Ferroviaria; Certificaciones, constancias académicas y derechos complementarios;70;1225000
FACULTAD CIENCIAS BASICAS;Especialización en Inteligencia Artificial; Certificaciones, constancias académicas y derechos complementarios;14;392000
FACULTAD CIENCIAS AGROPECUARIAS;Especialización en Laboratorio Clínico Veterinario; Certificaciones, constancias académicas y derechos complementarios;19;863500
FACULTAD CIENCIAS AGROPECUARIAS;Especialización en Manejo de Riego y Fertirrigación; Certificaciones, constancias académicas y derechos complementarios;9;217000
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Marketing Digital; Certificaciones, constancias académicas y derechos complementarios;1;28000
FACULTAD CIENCIAS DE LA SALUD;Especialización en Medicina Familiar; Certificaciones, constancias académicas y derechos complementarios;32;388500
FACULTAD INGENIERIA;Especialización en Metalurgia Extractiva Sostenible - Virtual; Certificaciones, constancias académicas y derechos complementarios;6;168000
FACULTAD CIENCIAS DE LA EDUCACION;Especialización en Necesidades de Aprendizaje en Lectura, Escritura y Matemáticas; Certificaciones, constancias académicas y derechos complementarios;30;986500
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Especialización en Normas Internacionales de Información Financiera (NIIF); Certificaciones, constancias académicas y derechos complementarios;8;468500
FACULTAD ESTUDIOS TECNOLOGICOS Y A DISTANCIA;Especialización en Pedagogía de la Lengua Castellana y la Literatura; Certificaciones, constancias académicas y derechos complementarios;36;850500
SECCIONAL DUITAMA;Especialización en Pedagogía de los Derechos Humanos; Certificaciones, constancias académicas y derechos complementarios;27;930500
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Especialización en Planeación y Gestión del Desarrollo Territorial; Certificaciones, constancias académicas y derechos complementarios;37;826000
FACULTAD CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;Especialización en Planeación y Gestión del Desarrollo Territorial - Aguazul; Certificaciones, constancias académicas y derechos complementarios;10;175000
SECCIONAL DUITAMA;Especialización en Planificación y Regulación Energética; Certificaciones, constancias académicas y derechos complementarios;9;217000
FACULTAD INGENIERIA;Especialización en Programación para Ciencia de Datos; Certificaciones, constancias académicas y derechos complementarios;2;56000
FACULTAD CIENCIAS BASICAS;Especialización en Seguridad y Calidad Alimentaria; Certificaciones, constancias académicas y derechos complementarios;21;500500
FACULTAD CIENCIAS DE LA SALUD;Especialización en Seguridad y Salud en el Trabajo; Certificaciones, constancias académicas y derechos complementarios;20;367500
SECCIONAL SOGAMOSO;Especialización en Seguridad y Salud en el Trabajo - Sogamoso; Certificaciones, constancias académicas y derechos complementarios;31;675500
