FACULTAD;PROGRAMA;SEDE;MODALIDAD;TIPO INSCRIPCION;Número de CUOTAS;SEXO;Número de Estudiantes;VALOR MATRICULA BRUTA;VALOR MATRICULA NETA
CIENCIAS;DOCTORADO EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;1;12299040;9839232
CIENCIAS;DOCTORADO EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;4;48504080;39894752
CIENCIAS;DOCTORADO EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;85747240;43438542
CIENCIAS;DOCTORADO EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;1;15373800;12299040
CIENCIAS;DOCTORADO EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;1;15373800;5534568
CIENCIAS;DOCTORADO EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;11953000;11953000
CIENCIAS;DOCTORADO EN CIENCIAS QUÍMICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;5;66606600;64300530
CIENCIAS;DOCTORADO EN CIENCIAS QUÍMICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;3;46121400;18578816
CIENCIAS;DOCTORADOS EN CIENCIAS BIOLÓGICAS Y AMBIENTALES ;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;6;81980400;69681360
CIENCIAS;DOCTORADOS EN CIENCIAS BIOLÓGICAS Y AMBIENTALES ;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;3;46121400;21523320
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;INSCRIPCIÓN REGULAR;2;F;1;4612140;3843450
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;INSCRIPCIÓN REGULAR;2;M;4;27672840;23018000
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;INSCRIPCIÓN REGULAR;1;F;2;15373800;13452075
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;INSCRIPCIÓN REGULAR;1;M;7;53808300;41850905
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;7686900;6533865
CIENCIAS;ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL;TUNJA;Virtual;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;6;46121400;39203190
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;INSCRIPCIÓN REGULAR;2;F;5;30747600;27365364
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;INSCRIPCIÓN REGULAR;2;M;2;12299040;11069136
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;INSCRIPCIÓN REGULAR;1;F;3;18448560;10411484
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;INSCRIPCIÓN REGULAR;1;M;2;12299040;10454184
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;5;25827984;20908368
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;2;12299040;9839232
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;5;30747600;25827984
CIENCIAS;ESPECIALIZACIÓN EN SEGURIDAD Y CALIDAD ALIMENTARIA;TUNJA;Otra;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;5;30747600;26442936
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;1;7686900;6149520
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;2;15373800;6149520
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;2;15373800;9224280
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;2;15373800;12299040
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;2;15373800;6149520
CIENCIAS;MAESTRÍA EN CIENCIAS - FÍSICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;11;84555900;39203190
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;2;18448560;16603704
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;18448560;15220062
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;8;73794240;20024376
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;64569960;38699276
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;2;18448560;14758848
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;5;46121400;24905556
CIENCIAS;MAESTRÍA EN CIENCIAS BIOLÓGICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;9224280;4612140
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;15373800;12299040
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;4;30747600;9666279
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;4612140;3074760
CIENCIAS;MAESTRÍA EN CIENCIAS MATEMÁTICAS;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;1;7686900;3074760
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;F;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;9224280;7379424
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;F;4;36897120;20158896
CIENCIAS;MAESTRÍA EN QUÍMICA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;4;36897120;20158896
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;1;15373800;13067730
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;24598080;19217250
CIENCIAS AGROPECUARIAS;DOCTORADO EN TERRITORIO Y DESARROLLO RURAL;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;3;35859000;35859000
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;2;M;1;6149520;5227092
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;F;1;6149520;5842044
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;AGUAZUL;Presencial;INSCRIPCIÓN REGULAR;1;M;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;3;15988752;13221468
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;M;2;12299040;10454184
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;F;3;18448560;16911180
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;INSCRIPCIÓN REGULAR;1;M;7;43046640;37512072
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);2;M;1;6149520;5534568
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN BIOTECNOLOGÍA REPRODUCTIVA;TUNJA;Presencial;OPCIÓN DE GRADO PREGRADO (RES 16-2009);1;M;1;6149520;5184392
CIENCIAS AGROPECUARIAS;ESPECIALIZACIÓN EN LABORATORIO CLÍNICO VETERINARIO;TUNJA;Presencial;INSCRIPCIÓN REGULAR;2;F;5;30747600;28287792
